assignment_id,user_id,question_num,toolName,numEvaluation,timeTaken,score
321233,96550495,1,No feedback requested,12,15.014866666666666,30
320994,55948835,1,AI-Socrates,8,23.837566666666667,30
320992,1464159,1,No feedback requested,4,52.849016666666664,30
321323,11825285,1,No feedback requested,17,57.44711666666665,30
321094,25317458,1,No feedback requested,4,41.68626666666667,30
321236,95167652,1,No feedback requested,4,64.55475,30
321149,87395480,1,No feedback requested,3,49.54113333333333,30
321235,79389677,1,No feedback requested,6,39.925149999999995,30
321182,1825913,1,AI-Socrates,12,111.37643333333335,30
321234,77827096,1,No feedback requested,10,99.85436666666666,30
321184,40084143,1,AI-Default,9,133.72603333333333,30
321150,70199688,1,No feedback requested,11,167.34416666666667,0
321168,76792173,1,No feedback requested,9,38.691,30
321116,87052805,1,AI-Socrates,14,155.78945000000002,17
321136,84159447,1,No feedback requested,12,22.745949999999997,30
321218,5074925,1,AI-Default,14,107.00378333333333,30
321135,8088251,1,No feedback requested,8,50.329883333333335,30
321096,20006420,1,No feedback requested,8,25.597033333333325,30
321167,20790403,1,No feedback requested,5,56.31111666666667,30
321151,3879122,1,No feedback requested,20,149.1737833333333,30
321185,49163648,1,No feedback requested,3,81.99965,24
320985,45510477,1,No feedback requested,11,91.96594999999999,30
321148,26889490,1,No feedback requested,6,44.56713333333333,30
321231,34866508,1,AI-Default,19,84.76664999999998,30
321294,18532723,1,No feedback requested,20,68.92096666666663,30
321237,23587233,1,No feedback requested,1,23.375566666666668,0
321213,2621677,1,No feedback requested,14,36.02479999999999,30
321301,15803379,1,AI-Default,18,79.0564166666667,30
321091,72555921,1,No feedback requested,4,53.49508333333333,30
321300,22532890,1,AI-Socrates,14,104.93585,30
321179,94127116,1,No feedback requested,5,110.3201666666667,24
321214,23829938,1,AI-Default,11,49.76066666666666,30
321245,76587747,1,AI-Socrates,22,126.42501666666672,0
321243,85694297,1,No feedback requested,11,150.1839,17
321115,41296810,1,No feedback requested,28,133.87765000000002,17
321240,11753916,1,No feedback requested,6,53.36408333333333,30
321180,54027150,1,AI-Socrates,19,72.90275000000003,30
321298,10522260,1,No feedback requested,3,26.72605,30
321093,98301040,1,No feedback requested,15,85.59776666666666,30
321215,35979812,1,No feedback requested,4,64.06113333333333,0
321239,6044731,1,AI-Socrates,22,69.08636666666668,30
321216,45690151,1,No feedback requested,1,112.65901666666667,0
320989,39233751,1,No feedback requested,5,87.56263333333332,30
321238,76844145,1,AI-Default,13,45.33746666666668,30
320987,691325,1,AI-Default,3,7.972133333333335,0
321296,90460054,1,No feedback requested,5,91.89098333333332,30
321217,51571373,1,No feedback requested,5,67.30508333333333,30
321181,17945560,1,No feedback requested,20,63.30236666666666,30
320990,67186632,1,No feedback requested,13,51.06378333333335,30
321199,455044,1,AI-Default,4,53.800666666666665,30
321152,65927434,1,No feedback requested,9,150.85486666666668,17
321227,70608831,1,No feedback requested,3,43.07455000000001,30
321126,68290649,1,AI-Socrates,17,68.29716666666666,30
321195,38475929,1,No feedback requested,4,78.58361666666666,30
321158,79261691,1,No feedback requested,6,65.156,30
321161,71808693,1,No feedback requested,8,31.6104,0
321159,45408106,1,AI-Default,12,110.09549999999999,30
321131,59549545,1,No feedback requested,5,59.77393333333333,30
321223,97709909,1,AI-Socrates,8,70.74131666666666,30
321189,4589797,1,No feedback requested,20,86.77821666666667,30
321106,6428493,1,No feedback requested,22,80.5981666666667,30
321224,84280765,1,No feedback requested,6,87.56836666666665,17
321225,54297147,1,No feedback requested,6,71.40663333333333,30
321194,3526536,1,No feedback requested,4,59.31885,30
321190,19146241,1,No feedback requested,34,152.6938833333333,0
321160,96726438,1,No feedback requested,8,41.58924999999999,0
321191,74408651,1,No feedback requested,3,133.9358333333333,7
321103,56231727,1,No feedback requested,7,29.51783333333333,30
321129,13379510,1,No feedback requested,4,86.09391666666666,30
321104,78435174,1,AI-Default,34,138.10163333333333,30
321226,11121,1,No feedback requested,7,22.723316666666665,30
321105,52415034,1,No feedback requested,7,32.35131666666666,30
321101,98051002,1,No feedback requested,4,21.566966666666666,30
320988,23565484,1,No feedback requested,7,92.84145,30
321099,85541937,1,AI-Socrates,8,60.83218333333333,0
321107,73161407,1,No feedback requested,12,27.115500000000004,30
321186,36401735,1,No feedback requested,5,48.30601666666668,30
321098,9823104,1,No feedback requested,11,28.820016666666675,0
321229,76820568,1,No feedback requested,12,74.27421666666666,30
321187,12164129,1,No feedback requested,2,52.03973333333333,0
321198,60055800,1,AI-Socrates,12,104.6264833333333,30
321188,31115019,1,No feedback requested,9,76.34196666666666,30
321153,85170009,1,No feedback requested,6,94.11358333333332,30
321228,63565323,1,No feedback requested,4,70.88748333333332,30
321154,74280443,1,No feedback requested,3,63.85615,30
321155,43931912,1,No feedback requested,5,56.8218,30
321302,88663465,1,AI-Socrates,19,120.42985000000002,30
321133,31469404,1,No feedback requested,9,24.30103333333333,4
321164,17904431,1,AI-Socrates,11,171.5158166666667,0
321156,68486299,1,No feedback requested,4,58.799666666666674,30
321197,17197340,1,AI-Default,9,47.684216666666664,30
321122,18769938,1,AI-Socrates,29,116.70378333333333,30
321196,81289593,1,No feedback requested,5,76.77361666666667,30
321221,16236403,1,No feedback requested,3,57.68136666666666,30
321163,43142783,1,No feedback requested,2,26.2644,30
321222,27358361,1,AI-Default,10,34.91003333333334,30
321108,80647374,1,AI-Default,23,106.48541666666667,0
321157,52691837,1,No feedback requested,3,55.957816666666666,30
321220,41783173,1,No feedback requested,2,19.8379,30
321147,71734595,1,No feedback requested,6,78.4111,30
321297,99002157,1,No feedback requested,8,70.40266666666666,30
321090,9497668,1,No feedback requested,4,29.694249999999997,30
321141,81042273,1,No feedback requested,5,79.98711666666665,30
321255,76270586,1,AI-Socrates,14,78.82416666666667,30
321206,98904104,1,No feedback requested,10,43.038066666666666,30
321254,82426274,1,No feedback requested,18,70.73736666666667,30
321207,55910015,1,No feedback requested,4,44.20818333333334,30
321314,60142567,1,No feedback requested,1,22.667816666666667,0
321313,99794923,1,AI-Socrates,15,124.77378333333336,5
321142,12535592,1,No feedback requested,8,122.40905000000001,30
321263,36209556,1,No feedback requested,8,66.37265000000001,0
321256,71234376,1,No feedback requested,8,85.89238333333333,30
321209,94719733,1,No feedback requested,9,20.885033333333336,30
321086,57710456,1,No feedback requested,5,86.78359999999999,0
321087,99403464,1,No feedback requested,14,67.95564999999999,30
321232,2607177,1,No feedback requested,7,171.09126666666668,30
321252,95178244,1,AI-Socrates,13,116.54388333333334,30
321143,39723352,1,No feedback requested,3,28.765849999999997,30
321311,45155834,1,No feedback requested,3,43.14565,30
321310,76765594,1,No feedback requested,7,61.653566666666656,24
